occupation,numberEmployed,averageSalary,
Security and Fire Alarm Systems Installers,67700,45660,
"Community and Social Service Specialists, All Other",91860,45540,
Hazardous Materials Removal Workers,44280,45500,
Surveying and Mapping Technicians,53920,45490,
Broadcast Technicians,30330,45430,
Tax Preparers,70030,45340,
Excavating and Loading Machine and Dragline Operators,48320,45230,
Automotive Body and Related Repairers,143940,45180,
"Directors, Religious Activities and Education",20590,44840,
Licensed Practical and Licensed Vocational Nurses,702400,44840,
Legislators,53670,44820,
Museum Technicians and Conservators,10970,44780,
Tile and Marble Setters,36830,44770,
"Electric Motor, Power Tool, and Related Repairers",17050,44720,
"Patternmakers, Metal and Plastic",3420,44490,
Massage Therapists,95830,44480,
Desktop Publishers,13090,44380,
Carpet Installers,25660,44310,
Forest Fire Inspectors and Prevention Specialists,1650,44300,
Agricultural Inspectors,14710,44260,
Cargo and Freight Agents,88920,44250,
Substance Abuse and Behavioral Disorder Counselors,91040,44160,
Plasterers and Stucco Masons,22810,44070,
Camera and Photographic Equipment Repairers,3760,43920,
First-Line Supervisors of Retail Sales Workers,1194220,43910,
Computer Operators,46810,43880,
"Paving, Surfacing, and Tamping Equipment Operators",51880,43800,
Cement Masons and Concrete Finishers,173920,43720,
Stonemasons,13190,43650,
Heavy and Tractor-Trailer Truck Drivers,1704520,43590,
Payroll and Timekeeping Clerks,159650,43580,
"Eligibility Interviewers, Government Programs",135940,43550,
Motorboat Operators,3290,43340,
"Sales and Related Workers, All Other",81080,43330,
Machinists,391120,43220,
Self-Enrichment Education Teachers,229840,43150,
Engine and Other Machine Assemblers,38150,43090,
Telephone Operators,8860,43030,
Fallers,5370,42900,
Pipelayers,39620,42860,
Fitness Trainers and Aerobics Instructors,257410,42780,
Public Address System and Other Announcers,8020,42740,
Photographers,48660,42640,
Solar Photovoltaic Installers,8870,42500,
Timing Device Assemblers and Adjusters,790,42470,
"Welders, Cutters, Solderers, and Brazers",382730,42450,
"Floor Layers, Except Carpet, Wood, and Hard Tiles",10340,42370,
Animal Breeders,1270,42340,
Jewelers and Precious Stone and Metal Workers,26480,42310,
Embalmers,3710,42260,
Tire Builders,22280,42230,
"Cooks, Private Household",370,42220,
Locksmiths and Safe Repairers,18640,42180,
Roofers,116410,42080,
Procurement Clerks,72120,41980,
"Communications Equipment Operators, All Other",2150,41910,
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",29060,41900,
"Meter Readers, Utilities",34070,41890,
"Financial Clerks, All Other",34540,41870,
Metal-Refining Furnace Operators and Tenders,17730,41840,
"Installation, Maintenance, and Repair Workers, All Other",146460,41810,
"Bus Drivers, Transit and Intercity",169680,41780,
Medical and Clinical Laboratory Technicians,160190,41700,
"Painters, Construction and Maintenance",217280,41510,
Medical Records and Health Information Technicians,200140,41460,
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",47160,41450,
Automotive Service Technicians and Mechanics,647380,41400,
First-Line Supervisors of Housekeeping and Janitorial Workers,161140,41240,
"Dispatchers, Except Police, Fire, and Ambulance",197910,41190,
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",17560,41180,
Community Health Workers,51900,41170,
"Police, Fire, and Ambulance Dispatchers",95170,41070,
Coaches and Scouts,230930,41000,
Motorboat Mechanics and Service Technicians,20260,40860,
Insurance Claims and Policy Processing Clerks,274350,40780,
Dental Laboratory Technicians,37110,40760,
Prepress Technicians and Workers,33340,40640,
"Logging Workers, All Other",3010,40560,
"Construction and Related Workers, All Other",35340,40480,
"Roustabouts, Oil and Gas",51290,40480,
Agricultural and Food Science Technicians,20420,40470,
Mechanical Door Repairers,19840,40420,
Home Appliance Repairers,33480,40390,
"Inspectors, Testers, Sorters, Samplers, and Weighers",518950,40340,
Loan Interviewers and Clerks,224340,40300,
"Bookkeeping, Accounting, and Auditing Clerks",1566960,40220,
Transportation Security Screeners,42750,40160,
"Human Resources Assistants, Except Payroll and Timekeeping",137150,40100,
"Information and Record Clerks, All Other",166850,40090,
Structural Metal Fabricators and Fitters,77270,40000,
Word Processors and Typists,67230,39970,
Travel Agents,68680,39900,
Medical Appliance Technicians,14570,39880,
First-Line Supervisors of Personal Service Workers,190420,39830,
Watch Repairers,1620,39720,
Parking Enforcement Workers,8920,39650,
Proofreaders and Copy Markers,11430,39640,
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",33850,39630,
"Computer-Controlled Machine Tool Operators, Metal and Plastic",146190,39590,
"Tank Car, Truck, and Ship Loaders",10920,39590,
Highway Maintenance Workers,143320,39540,
"Insulation Workers, Floor, Ceiling, and Wall",29500,39490,
"Computer, Automated Teller, and Office Machine Repairers",102170,39410,
"Maintenance and Repair Workers, General",1332480,39360,
Electronic Home Entertainment Equipment Installers and Repairers,25550,39340,
"Credit Authorizers, Checkers, and Clerks",37680,39320,
Farm Equipment Mechanics and Service Technicians,35110,39310,
"Court, Municipal, and License Clerks",128620,39160,
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",19780,39010,
Craft Artists,5070,38900,
Floor Sanders and Finishers,4590,38890,
Logging Equipment Operators,27250,38880,
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",12290,38880,
Septic Tank Servicers and Sewer Pipe Cleaners,26320,38870,
"Tool Grinders, Filers, and Sharpeners",9550,38860,
Rehabilitation Counselors,103030,38740,
"Transportation Workers, All Other",37660,38740,
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",19160,38710,
Forest and Conservation Technicians,30090,38630,
"Paper Goods Machine Setters, Operators, and Tenders",93100,38570,
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",46920,38380,
Slot Supervisors,7640,38300,
Log Graders and Scalers,3020,38150,
Reservation and Transportation Ticket Agents and Travel Clerks,146350,38050,
Recreational Vehicle Service Technicians,13520,38040,
Dental Assistants,327290,37890,
Construction Laborers,912100,37890,
Semiconductor Processors,24430,37890,
"Opticians, Dispensing",75270,37860,
"Healthcare Support Workers, All Other",93830,37720,
Musical Instrument Repairers and Tuners,7980,37690,
Refuse and Recyclable Material Collectors,114680,37690,
Correspondence Clerks,6780,37660,
"Mixing and Blending Machine Setters, Operators, and Tenders",130480,37630,
Bill and Account Collectors,298960,37620,
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",19520,37600,
Billing and Posting Clerks,485220,37570,
Printing Press Operators,169910,37460,
Tree Trimmers and Pruners,40680,37310,
"Pourers and Casters, Metal",8560,37300,
Helpers--Extraction Workers,17660,37160,
Medical Transcriptionists,54070,37150,
Ophthalmic Medical Technicians,43990,37040,
Motorcycle Mechanics,16000,37040,
Animal Control Workers,12970,36600,
Models,4390,36560,
New Accounts Clerks,41630,36480,
Paperhangers,3190,36470,
Fence Erectors,21500,36380,
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",117300,36190,
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2295510,36140,
Automotive Glass Installers and Repairers,18610,36140,
Emergency Medical Technicians and Paramedics,244960,36110,
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",29830,36050,
"Office and Administrative Support Workers, All Other",216650,36040,
Foundry Mold and Coremakers,12810,36030,
Medical Equipment Preparers,52500,35960,
Travel Guides,3030,35930,
Psychiatric Technicians,61720,35870,
Graduate Teaching Assistants,135130,35810,
"Metal Workers and Plastic Workers, All Other",22930,35780,
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",25230,35720,
"Umpires, Referees, and Other Sports Officials",18660,35540,
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",19340,35420,
Electromechanical Equipment Assemblers,45540,35410,
"Coil Winders, Tapers, and Finishers",14090,35340,
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",71960,35340,
Outdoor Power Equipment and Other Small Engine Mechanics,33020,35320,
Gaming Surveillance Officers and Gaming Investigators,10460,35280,
Customer Service Representatives,2707040,35170,
Skincare Specialists,43980,35160,
Order Clerks,176850,35160,
"Agricultural Workers, All Other",5040,35120,
Medical Secretaries,556820,35060,
Pest Control Workers,72830,35020,
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",74600,34920,
"Rock Splitters, Quarry",3770,34860,
