state_name,city,medianHouseholdIncome
Maryland,Laytonsville town,117917
California,Rose Hills CDP,117875
Tennessee,Shackle Island CDP,117841
Texas,Annetta town,117813
Connecticut,Georgetown CDP,117778
California,Los Ranchos CDP,117740
Virginia,Purcellville town,117736
Pennsylvania,Table Rock CDP,117708
New York|Croton|on,Croton-on-Hudson village,117656
New York,Port Washington CDP,117647
Texas,Frisco city,117642
Virginia,Chantilly CDP,117553
Florida,Garcon Point CDP,117552
Massachusetts,Medfield CDP,117500
California,Mountain House CDP,117433
Delaware,Hockessin CDP,117346
Texas,Garden Ridge city,117258
Massachusetts,Lynnfield CDP,117250
New Jersey,Peapack and Gladstone borough,117200
Maryland,Ilchester CDP,117194
New Jersey,Cresskill borough,117164
Virginia,Lansdowne CDP,117123
Indiana,Country Club Heights town,117083
New York,Huntington CDP,117074
Oregon,Bethany CDP,117056
New Jersey,Pennington borough,117039
Virginia,Neabsco CDP,116958
Minnesota,Carver city,116954
California,Malibu city,116904
Illinois,Plainfield village,116896
Maryland,Brandywine CDP,116893
Maryland,Damascus CDP,116890
Hawaii,Kapalua CDP,116875
Iowa,Cumming city,116875
Ohio,Kirtland Hills village,116875
Wyoming,Rafter J Ranch CDP,116875
New York|Hastings|on,Hastings-on-Hudson village,116798
Indiana,Ulen town,116750
Colorado,Greenwood Village city,116743
New York,West Nyack CDP,116667
Ohio,Dunlap CDP,116667
New Jersey,Florham Park borough,116528
New York,East Islip CDP,116487
Virginia,Lake Barcroft CDP,116435
Missouri,Parkville city,116359
California,Sausalito city,116325
Missouri,Crystal Lake Park city,116250
Pennsylvania,Alleghenyville CDP,116250
California,Granite Hills CDP,116146
Oregon,Cascadia CDP,116136
New Jersey,Shrewsbury borough,116071
Virginia,George Mason CDP,116042
Texas,Boys Ranch CDP,116000
New York,Northport village,115968
New York,Smithtown CDP,115935
Utah,Mountain Green CDP,115859
California,Newport Beach city,115845
California,Rosedale CDP,115841
Missouri,Bellerive village,115833
Ohio,Amberley village,115703
